Time,Linear Pos X,Linear  Pos Y,Linear Pos Z,Angular Pos X,Angular Pos Y,Angular Pos Z,Lineal Vel X,Lineal Vel Y,Lineal Vel Z,Angular Vel X,Angular Vel Y,Angular Vel Z
1681947697,0.020004858818034828,-0.14430053108638743,0.38756810546587056,-0.01254421317458004,0.001877830907951458,0.06724021562414796,0.0014970953677837196,-0.08521993055715764,0.0839782708956728,0.0,0.0,0.1
1681947698,0.01536971425224556,-0.18436740364581528,0.3785447705317839,-0.012555034228771533,0.0021944946168008885,0.06768251540667344,0.006592676628320935,-0.0632395418855086,0.09451515726845193,0.0,0.0,0.1
1681947698,0.024806799098415083,-0.22024716899952068,0.3952005710860601,-0.015268643470866334,0.0027346991551281123,0.09275098875191727,-0.008787589532355452,-0.028414906723412493,0.04472616470356975,0.0,0.0,0.1
1681947699,0.02444374130070997,-0.24031411798250596,0.442482048331018,-0.021403172452132885,0.0042625776237301604,0.13365946234954526,0.0012393112719874953,-0.04254533251281868,0.03199415295319975,0.0,0.0,0.1
1681947700,0.023111747400611282,-0.25512648334085497,0.4498784493116547,-0.026887092387352218,0.003733339820928235,0.15885508830696451,0.01353480976913446,-0.15800912297572123,-0.16252939143016618,0.0,0.0,0.1
1681947701,0.04153133095570921,-0.3502202379004665,0.425206305299006,-0.03214554971556156,0.003950992899296287,0.19265584668865357,0.02297312109186063,-0.09710713753919296,-0.1553463837885095,0.0,0.0,0.1
1681947702,0.06583397175789829,-0.4126627896828825,0.4021022004300125,-0.042885853158544394,0.005003817849143052,0.2562999420679118,-0.00713910090915712,-0.045125573758348844,-0.11798090782321684,0.0,0.0,0.1
1681947702,0.09188581725015232,-0.4615362992351274,0.3766618160113484,-0.05497514815348835,0.005305572595874007,0.3273762138494465,-0.07699752179035411,-0.2754748972969207,0.1885384516410197,0.0,0.0,0.1
1681947703,0.12304103217125564,-0.4929291967732997,0.373309674093632,-0.05629806506363366,0.005517618187288948,0.3335204256517352,-0.00015875158659504375,-0.22063552948011422,0.0937865630264237,0.0,0.0,0.1
1681947704,0.2292642581298641,-0.5901037060217328,0.3591864331082094,-0.05958833111882773,0.0064180576720143595,0.36342065091969566,-0.03665960150680966,-0.1153835225495067,0.11062168962396166,0.0,0.0,0.1
1681947705,0.3051549959136077,-0.6450586924587239,0.3628100970621805,-0.06111107216110765,0.007383004322095171,0.38226405151332365,-0.03473187939848947,-0.10943964542375037,0.10156362545415412,0.0,0.0,0.1
1681947706,0.3777184162052846,-0.6788903626929942,0.3738133574210432,-0.061285914174550614,0.007186479486268066,0.3870615551072834,-0.09238127399176244,0.0032499707675608946,0.07928738275547102,0.0,0.0,0.1
1681947706,0.42079234291623674,-0.6997707208098582,0.3637002527563446,-0.06717580688930445,0.007537450877357484,0.4152477325858852,-0.05919646309643558,-0.05375825889189227,0.10874872276645242,0.0,0.0,0.1
1681947707,0.45456385030636964,-0.7296767523814124,0.3396075611684148,-0.07079218444242051,0.007264214237433973,0.43762441518375883,-0.04594720361626767,-0.16033407965150673,0.3643889412718423,0.0,0.0,0.1
1681947708,0.511480954818668,-0.7483369998936236,0.42025459023064954,-0.07560169009349398,0.008447239873373084,0.45619814425270283,-0.06866794302532085,-0.1061745539804365,0.20430002831077085,0.0,0.0,0.1
1681947709,0.595263446621483,-0.7944256581069329,0.5041251258114885,-0.07740020036748649,0.009497490001900939,0.45838370813005325,-0.049428097644836376,-0.09117922469731983,0.1984874909435502,0.0,0.0,0.1
1681947710,0.6521896576740736,-0.8427008133091968,0.5641731018523198,-0.07553529352845632,0.010248533984167425,0.46235440171647446,-0.05252060388000842,-0.0589496805174251,0.14286515058680804,0.0,0.0,0.1
1681947710,0.6789999967512216,-0.8490272714821978,0.6019243625691668,-0.0783720098954329,0.011341672994871245,0.47210117843138727,-0.0637695778494531,-0.06992584780274669,0.13848343075861533,0.0,0.0,0.1
1681947711,0.7099617370476012,-0.860066650078024,0.6217733089930042,-0.08336499643864144,0.011695137789404971,0.4852050398109745,-0.06253791397183858,-0.032388631395753806,0.12061517861153195,0.0,0.0,0.1
1681947712,0.744602247876971,-0.8823423143133252,0.6468174486110584,-0.08490500592577375,0.012514222995529236,0.4864825555455143,-0.064796590422175,-0.016159911794630354,0.09708396232056415,0.0,0.0,0.1
1681947713,0.77653807699047,-0.9045282853482602,0.6709657493271329,-0.08317861120025584,0.01248231524491232,0.49177548934493237,-0.05711155235232904,-0.017059320498296525,0.09226718153407817,0.0,0.0,0.1
1681947714,0.7912249488102403,-0.9173120878486667,0.7045074554212389,-0.0894375532182614,0.01299437412092706,0.5258028952002076,-0.05281650654136416,0.004826100639921834,0.04268237905973597,0.0,0.0,0.1
1681947714,0.7973899176599069,-0.9278207872214371,0.7290033147953827,-0.09553099819282254,0.012423671558172807,0.5624654168118092,-0.045006583204474204,0.02228667709969031,0.021305072009253037,0.0,0.0,0.1
1681947715,0.8129213557084403,-0.9482344924695605,0.721792923164069,-0.10130380817844613,0.011566622673192955,0.5961181037302172,-0.039401440918217255,-0.11482579082649974,-0.1112079824138302,0.0,0.0,0.1
1681947716,0.8798985833586468,-0.9593373048674408,0.6739373984052446,-0.10710952413404724,0.011550599594893105,0.639741451912921,-0.06594394773270243,-0.0723998628746163,-0.1149979162955569,0.0,0.0,0.1
1681947717,0.9503279147897677,-0.9884395463494128,0.6240930592264291,-0.1105516239778179,0.010058076394507776,0.670921585502188,-0.04163651125088901,-0.05252974543125856,-0.07627991398082823,0.0,0.0,0.1
1681947718,0.9821804459608711,-1.005669604721535,0.6163172117031056,-0.11353429093130535,0.010742992028616932,0.6893789115309309,0.04840024091568476,-0.3,-0.5,0.0,0.0,0.1
1681947718,1.0145713091752995,-0.9945009525596317,0.5727732375139629,-0.11615203472461601,0.009311044209184596,0.7128609069222763,-0.035978510452923336,-0.18295204342969304,-0.26965464384533316,0.0,0.0,0.1
1681947719,1.1412333297901733,-0.9641222084015539,0.4533637667949349,-0.11664495257934829,0.0076090951429834955,0.7254313792510751,-0.0589851784273292,-0.03405745571411323,-0.13288933589093188,0.0,0.0,0.1
1681947720,1.2314477226625968,-0.9647098934062748,0.395601376330844,-0.1147483811993749,0.0035614441241257374,0.7297929525210056,-0.042646999560199676,-0.06272641472883324,-0.12231165190223764,0.0,0.0,0.1
1681947721,1.2676568813941058,-0.9875122416350827,0.3630342887586898,-0.12026173836331251,0.005620435706739017,0.7419152023035909,-0.02052320799624789,-0.05002228209916011,-0.09587856151402832,0.0,0.0,0.1
