time,linear_pos_x,linear_pos_y,linear_pos_z,angular_pos_x,angular_pos_y,angular_pos_z,cmd_vel_x,cmd_vel_y,cmd_vel_z,linear_vel_x,linear_vel_y,linear_vel_z,angular_vel_x,angular_vel_y,angular_vel_z
1683839954,-0.027749895679953583,0.008966953038881986,0.27093760309801895,0.00028857544958707645,-0.011419282774788623,4.618184272733017e-05,0.0,0.0,0.0,-0.01730647594122947,0.002512877348746431,0.06892575522574829,0.0,0.0,0.0
1683839954,-0.026491264362318134,0.00878108178973856,0.2826961013429191,0.00012125607829141745,-0.01120819112611113,5.870312001398556e-05,0.0,0.0,0.0,0.025172626352708977,-0.0037174249828685058,0.23516996489800324,0.0,0.0,0.0
1683839954,-0.027354811591677314,0.008686661330972253,0.28787197571460965,-0.00013425326840465837,-0.010950948821617817,5.3251614931482574e-05,0.0,0.0,0.0,-0.017270944587183604,-0.00188840917532615,0.10351748743381073,0.0,0.0,0.0
1683839954,-0.02701016614404848,0.007226931342651896,0.2967944547414564,-0.00023966644014484741,-0.01060335466247431,0.00012792383423631057,0.0,0.0,0.0,0.006892908952576687,-0.029194599766407137,0.1784495805369346,0.0,0.0,0.0
1683839954,-0.027859300974027414,0.009162122992685899,0.29975941794079036,-1.746221298532256e-05,-0.010676038737202761,-4.164369919987641e-05,0.0,0.0,0.0,-0.016982696599578684,0.038703833000680046,0.05929926398667962,0.0,0.0,0.0
1683839954,-0.0295741706044774,0.006690828230034054,0.30381276377925964,0.00016657756373638098,-0.011037643233883515,0.0002891980815484164,0.0,0.0,0.0,-0.034297392608999694,-0.0494258952530369,0.0810669167693856,0.0,0.0,0.0
1683839954,-0.02952426545827217,0.008176999484361652,0.30679990302986265,-0.00010362283691213767,-0.010456184316685966,7.694056137255351e-05,0.0,0.0,0.0,0.0009981029241045575,0.02972342508655197,0.05974278501206021,0.0,0.0,0.0
1683839954,-0.028516379011775353,0.009720966534349607,0.31039167041382537,0.00014296816094108242,-0.010069403120095397,-5.1735435199131925e-05,0.0,0.0,0.0,0.020157728929936364,0.0308793409997591,0.07183534767925437,0.0,0.0,0.0
1683839954,-0.027331770039389122,0.007678338609568686,0.31295141590021824,0.00030496913037164554,-0.01004092470946427,0.00021603312059913305,0.0,0.0,0.0,0.023692179447724615,-0.04085255849561842,0.05119490972785745,0.0,0.0,0.0
1683839954,-0.029624007867938822,0.008617148084821075,0.31369435993553896,0.0002909245085351245,-0.010139566257047155,0.00016439916329847448,0.0,0.0,0.0,-0.045844756570994,0.018776189505047784,0.01485888070641428,0.0,0.0,0.0
